law1: （2017）宁0104民初9597号（庭审笔录）
law2: （2018）晋0402民初1379号（庭审笔录）
law3: （2016）皖0811民初979号（法庭笔录）
law4: （2015）岳民一初字第00675号（法庭笔录）
law5: （2018）宁0104民初171号（庭审笔录）
law6: (2016)苏0115民初11565号（庭审笔录）
law7: （2016）皖0811民初406号（庭审笔录）
law8: （2016）皖0811民初2152号（法庭笔录）
law9: （2016）皖0803民初1363号（庭审笔录）
law10: （2017）苏0106民初7226号（庭审笔录）
law11: （2013）合高新民一初字第00290号（法庭笔录）
law12: （2016）皖0811民初1300号（法庭笔录）
law13: （2016）皖0828民初1645号（法庭笔录）
law14: （2018）晋0402民初197号（开庭笔录）
law15: （2017）皖0104民初1411号（庭审笔录）
law16: (2017)黔2702民初461号（庭审笔录）
law17: （2018）晋0402民初531号（庭审笔录）
law18: （2016）赣民初983号（开庭笔录）
law19: （2016）皖0828民初844号（法庭笔录）
law20: (2019)鲁1321民初48号（庭审笔录）
law21: (2017)苏0106民初1549号（庭审笔录）
law22: （2016）豫1403民初5367号（开庭笔录）
law23: （2018）晋0402民初1362号（庭审笔录）
law24: （2017）粤0111民初4202号（开庭笔录）
law25: （2016）皖0803字民初第1494号(庭审笔录)
law26: （2017）皖0191民初543号（庭审笔录）
law27: （2013）合高新民一初字第00461号（庭审笔录）
law28: （2017）皖0828民初188号（法庭笔录）
law29: (2017)苏0106民初12391号（庭审笔录）
law30: (2017)黔2702民初1938号（庭审笔录2）
law31: （2016）皖0811民初298号（庭审笔录）
law32: （2018）黔0524民初556号（庭审笔录）
law33: (2017)皖0203民初1036号(庭审笔录)
law34: （2016）皖0828民初388号（法庭笔录）
law35: （2016）赣0823民初103号（庭审笔录）
law36: (2019)鲁1321民初435号（法庭笔录）
law37: （2018）晋0402民初306号（开庭审判笔录）
law38: （2017）黔0524民初2258号（庭审笔录）
law39: （2015）岳民一初字第00312号（法庭笔录）
law40: （2016）皖0803民初2158号【调解】（法庭笔录）
law41: （2016）皖0828民初63号（庭审笔录）
law42: (2017)黔2702民初160号（法庭笔录）
law43: （2016）皖0811民初2321号（庭审笔录）
law44: （2017）辽0214民初1002号（法庭笔录）
law45: （2018）宁0104民初4936号（庭审笔录）
law46: （2016）粤0106民初05999号（庭审笔录）
law47: （2017）皖0828民初52号（庭审笔录）
law48: （2016）桂0102民初1631号（法庭笔录）
law49: （2016）皖0828民初1029号（庭审笔录）
law50: (2015)穗天法金民初字第5145号(开庭笔录)
law51: （2016）皖0803民初396号（开庭笔录）
law52: (2017)苏0106民初1477号（庭审笔录）
law53: （2018）晋0402民初2329号（庭审笔录）
law54: （2018）宁0104民初3242号（庭审笔录）
law55: （2018）晋0402民初79号（开庭笔录）
law56: (2017)云0112民初874号(庭审笔录)
law57: (2017)苏0106民初6820号（法庭笔录）
law58: (2017)宁0104民初12892号（庭审笔录）
law59: （2016）皖0827民初556号（法庭笔录）
law60: （2016）皖0811民初2822号（庭审笔录）
law61: （2016）粤0106民初04956号（庭审笔录）
law62: （2016）皖0803字民初第1768号(庭审笔录)
law63: （2018）晋0402民初1118号（庭审笔录）
law64: (2017)黔2702民初800号（庭审笔录）
law65: （2016）皖0803民初1412号（庭审笔录）
law66: (2017)苏0106民初1281号（庭审笔录）
law67: （2016）皖0827民初1881号（庭审笔录）
law68: (2015)峡民初字第16号（开庭笔录）
law69: （2018）黔0524民初333号（庭审笔录）
law70: （2017）桂0102民初390号（开庭笔录）
